DO_ID	ORPHANET_ID
DOID:0110003	445038
DOID:0110002	67046
DOID:0110001	352328
DOID:0110000	66634
DOID:1712	402075
DOID:12712	655
DOID:12721	251
DOID:12236	186
DOID:0090091	325448
DOID:0050867	3213
DOID:0090088	52901
DOID:12241	848
DOID:0050857	2855
DOID:0050858	561
DOID:0060216	1467
DOID:0060217	98980
DOID:6457	201
DOID:0060226	1784
DOID:0060228	231160
DOID:0060221	163634
DOID:0060222	93474
DOID:0060225	293843
DOID:0050834	138
DOID:0060238	314679
DOID:0060237	2510
DOID:0060239	888
DOID:0060232	52429
DOID:0060231	2771
DOID:0060234	65759
DOID:0060233	1340
DOID:0060236	3467
DOID:0060235	157
DOID:13533	667
DOID:0060248	373
DOID:0060241	2616
DOID:0060240	178338
DOID:0060242	295195
DOID:0060245	101001
DOID:0060247	178355
DOID:0060246	2466
DOID:0050811	418
DOID:13543	99879
DOID:0060259	294415
DOID:0060252	91490
DOID:0060251	3152
DOID:0060254	97360
DOID:0060256	79145
DOID:0060255	97238
DOID:0060258	178307
DOID:0060257	41
DOID:0050802	75496
DOID:0060263	2940
DOID:0060265	2254
DOID:0060267	2524
DOID:0060266	2254
DOID:0060269	2524
DOID:0060268	2524
DOID:0060270	2524
DOID:0060272	97249
DOID:0060274	166068
DOID:0060273	166063
DOID:0060276	284339
DOID:0060275	166073
DOID:0060278	369920
DOID:0060277	324569
DOID:0060279	411493
DOID:0060281	166409
DOID:0060280	189439
DOID:0060283	263543
DOID:0060282	91495
DOID:0060285	60015
DOID:0060284	447
DOID:0060287	53691
DOID:0060289	2728
DOID:0060288	2733
DOID:0060290	3047
DOID:0060292	35173
DOID:0060291	2710
DOID:0060294	157820
DOID:0060293	79344
DOID:0060296	53689
DOID:0060295	169147
DOID:0060298	169147
DOID:0060297	169147
DOID:0060299	169150
DOID:1588	852
DOID:12270	194
DOID:12270	98945
DOID:1657	1480
DOID:2987	342
DOID:2962	191
DOID:2962	90321
DOID:2962	90322
DOID:2962	90324
DOID:2907	374
DOID:0090002	42665
DOID:0110975	140908
DOID:0090001	2052
