DO_ID	OMIM_ID
DOID:0111136	269700
DOID:0111126	616217
DOID:5409	182280
DOID:0111127	617271
DOID:0111128	603278
DOID:0111129	603965
DOID:5408	167250
DOID:5408	602080
DOID:5408	606263
DOID:0111120	613824
DOID:0111121	614377
DOID:0111122	614844
DOID:0111123	614845
DOID:0111124	615382
DOID:0111125	615862
DOID:0111115	606966
DOID:0111116	611498
DOID:0111117	613159
DOID:0111118	613550
DOID:0111119	613820
DOID:898	PS173900
DOID:893	277900
DOID:891	254900
DOID:891	310370
DOID:891	611726
DOID:891	612437
DOID:891	614018
DOID:0111110	616329
DOID:0111111	616511
DOID:0111112	256100
DOID:0111113	602088
DOID:0111114	604387
DOID:0111104	606394
DOID:0111105	609812
DOID:0111106	610508
DOID:0111107	612225
DOID:0111108	613370
DOID:0111109	613375
DOID:0111100	125851
DOID:0111101	137920
DOID:0111102	600496
DOID:0111103	606392
DOID:9007	272120
DOID:0060700	145980
DOID:0060702	600740
DOID:0060701	145981
DOID:0060704	PS308240
DOID:0060703	602849
DOID:0060706	300635
DOID:0060705	308240
DOID:0060708	615122
DOID:0060707	613011
DOID:0060711	606545
DOID:0060710	242100
DOID:0060713	242500
DOID:0060712	601277
DOID:0060715	612281
DOID:0060714	604777
DOID:0060717	613943
DOID:0060716	615022
DOID:0060719	615024
DOID:0060718	615023
DOID:1929	185500
DOID:1928	194050
DOID:0060728	615273
DOID:0060720	602400
DOID:1932	105830
DOID:1930	245800
DOID:1935	PS209900
DOID:12531	193400
DOID:12531	277480
DOID:12531	613554
DOID:1933	180849
DOID:1933	610543
DOID:1933	613684
DOID:0060733	226730
DOID:0060732	158170
DOID:0060735	131760
DOID:0060737	226700
DOID:0060736	131950
DOID:0060739	140000
DOID:0060738	226650
DOID:0060731	209880
DOID:0060730	128100
DOID:0060744	274600
DOID:13832	607411
DOID:0060743	251110
DOID:0060746	126700
DOID:1949	600803
DOID:0060745	126600
DOID:0060748	600512
DOID:0060747	607323
DOID:0060749	615697
DOID:0060740	251000
DOID:0060742	251100
DOID:0060741	613646
DOID:0060755	608096
DOID:0060754	616461
DOID:0060757	614305
DOID:0060756	269500
DOID:0060759	608106
DOID:0060758	605258
DOID:13809	144250
DOID:0060751	616436
DOID:0060750	611630
DOID:0060753	611631
DOID:0060752	614417
DOID:0060766	180700
DOID:13810	143890
DOID:0060765	616331
DOID:0060768	182290
DOID:0060767	616894
DOID:0060769	601705
DOID:0060760	608184
DOID:0060762	275210
DOID:0060761	600080
DOID:0060764	268310
DOID:0060763	312700
DOID:0060777	616868
DOID:0060776	613217
DOID:0060779	610370
DOID:0060778	615863
DOID:1919	300322
DOID:0060771	608808
DOID:0060770	PS608808
DOID:0060773	225060
DOID:0060772	613854
DOID:0060775	251850
DOID:0060774	PS214700
DOID:1925	135900
DOID:1924	241100
DOID:1924	307300
DOID:0060788	616420
DOID:0060787	608804
DOID:0060789	612233
DOID:0060780	614616
DOID:4183	612463
DOID:4184	603233
DOID:4184	612462
DOID:0060781	270420
DOID:0060784	129900
DOID:0060783	604292
DOID:0060786	PS312080
DOID:0060785	169500
DOID:6678	189500
DOID:585	167030
DOID:583	266120
DOID:583	612631
DOID:10283	176807
DOID:10283	300147
DOID:10283	300704
DOID:10283	601518
DOID:10283	602759
DOID:10283	608656
DOID:10283	608658
DOID:10283	609299
DOID:10283	609558
DOID:10283	610321
DOID:10283	610997
DOID:10283	611100
DOID:10283	611868
DOID:10283	611928
DOID:10283	611955
DOID:10283	611958
DOID:10283	611959
DOID:7998	603373
DOID:7998	609152
DOID:7997	275000
DOID:594	167870
DOID:594	607853
DOID:594	609985
DOID:5339	162800
DOID:6691	214900
DOID:5362	229045
DOID:5363	613488
DOID:560	154600
DOID:6683	100050
DOID:6682	184200
DOID:6688	601859
DOID:4028	106050
DOID:4028	300652
DOID:4022	191650
DOID:6686	100700
DOID:11589	223900
DOID:11599	144100
DOID:599	608251
DOID:5325	268300
DOID:6652	106400
DOID:6612	266265
DOID:529	606798
DOID:12800	253200
DOID:12801	252900
DOID:12801	252920
DOID:12801	252930
DOID:12801	252940
DOID:12802	607014
DOID:12802	607015
DOID:12802	607016
DOID:12803	253220
DOID:12804	253000
DOID:12804	253010
DOID:0060801	300148
DOID:0060800	304340
DOID:0060803	300858
DOID:0060802	309583
DOID:0060805	309610
DOID:0060804	309545
DOID:0060807	300749
DOID:0060806	300423
DOID:0060809	300534
DOID:0060808	300218
DOID:1852	147480
DOID:1852	211600
DOID:1852	243300
DOID:1852	601847
DOID:1852	602347
DOID:1852	605479
DOID:1852	614972
DOID:1852	615878
DOID:1858	174800
DOID:1856	118400
DOID:0060810	300220
DOID:0060812	300263
DOID:0060811	300706
DOID:0060814	309585
DOID:0060813	300709
DOID:0060816	300472
DOID:0060815	309605
DOID:1882	PS108800
DOID:0060818	300262
DOID:0060817	300967
DOID:0060819	300861
DOID:0060821	300676
DOID:0060820	300860
DOID:0060823	300699
DOID:0060822	300354
DOID:0060825	300243
DOID:0060824	300799
DOID:0060827	300055
DOID:0060826	300238
DOID:0060829	300612
DOID:0060828	300886
DOID:0060832	214450
DOID:0060831	PS214450
DOID:0060834	609227
DOID:0060833	607624
DOID:0060836	613094
DOID:0060835	613517
DOID:0060838	613704
DOID:11549	103100
DOID:0060837	611040
DOID:0060830	300519
DOID:0060839	610093
DOID:0060843	162500
DOID:0060842	611038
DOID:11555	136800
DOID:11555	610158
DOID:11555	613267
DOID:11555	613268
DOID:11555	613269
DOID:11555	613270
DOID:11555	613271
DOID:11555	615523
DOID:0060844	310600
DOID:0060847	127300
DOID:0060849	259770
DOID:0060848	300088
DOID:0060841	615113
DOID:0060840	251600
DOID:1811	604335
DOID:12894	270150
DOID:0060854	264350
DOID:0060853	610883
DOID:0060856	208530
DOID:0060855	177735
DOID:1838	309400
DOID:0060858	606407
DOID:0060857	182230
DOID:12858	143100
DOID:12859	118700
DOID:12859	215450
DOID:0060850	167750
DOID:0060852	609049
DOID:0060851	169610
DOID:0060865	617111
DOID:0060864	608970
DOID:0060867	605309
DOID:0060866	169150
DOID:1827	600669
DOID:1827	604827
DOID:1827	606972
DOID:1827	608762
DOID:1827	609750
DOID:1827	611934
DOID:0060869	605670
DOID:0060868	603896
DOID:0060861	206920
DOID:0060863	PS169150
DOID:0060862	248300
DOID:1837	612227
DOID:0060875	307200
DOID:0060878	146255
DOID:0060877	146800
DOID:0060879	PS602014
DOID:4051	268220
DOID:0060872	173100
DOID:0060871	148210
DOID:0060874	612781
DOID:0060873	262400
DOID:0060887	602475
DOID:0060886	300373
DOID:12842	139393
DOID:0060889	100100
DOID:0060888	159595
DOID:11514	137400
DOID:12849	209850
DOID:12849	607373
DOID:12849	608049
DOID:12849	608636
DOID:12849	609378
DOID:12849	610676
DOID:12849	610836
DOID:12849	610908
DOID:12849	611015
DOID:12849	611016
DOID:12849	611913
DOID:0060881	248190
DOID:0060880	248250
DOID:5374	132600
DOID:0060883	602014
DOID:0060882	611718
DOID:0060885	154020
DOID:0060884	613882
DOID:0060898	615530
DOID:0060897	614203
DOID:0060891	615528
DOID:0060896	616840
DOID:0060895	605543
DOID:5394	600634
DOID:699	251900
DOID:84	165800
DOID:83	601371
DOID:5212	PS212065
DOID:6543	604324
DOID:678	601104
DOID:678	609454
DOID:678	610898
DOID:676	604302
DOID:684	114550
DOID:12798	252700
DOID:12799	309900
DOID:10126	148300
DOID:10126	608586
DOID:10126	608932
DOID:10126	609271
DOID:10126	614622
DOID:10126	614623
DOID:10126	614628
DOID:10126	614629
DOID:11476	166710
DOID:10122	145100
DOID:5204	229700
DOID:12783	607501
DOID:11459	243200
DOID:0110061	613211
DOID:0110060	612529
DOID:612	242850
DOID:0110069	616439
DOID:0110068	616437
DOID:0110067	205200
DOID:0110066	204690
DOID:0110065	616270
DOID:0110064	616221
DOID:0110063	615887
DOID:0110062	614832
DOID:0110059	301201
DOID:0110050	615590
DOID:0110058	301200
DOID:0110057	204700
DOID:0110055	130900
DOID:0110054	104530
DOID:0110053	104510
DOID:0110052	104500
DOID:0110051	615711
DOID:628	312863
DOID:0110049	615080
DOID:0110048	611155
DOID:0110047	611154
DOID:0110046	611152
DOID:0110045	611073
DOID:0110044	609790
DOID:0110043	609636
DOID:0110042	607822
DOID:0110041	607116
DOID:0110040	606889
DOID:0110039	606187
DOID:0110038	605526
DOID:0110036	300756
DOID:0110035	104310
DOID:0110034	301050
DOID:0110033	203780
DOID:0110032	104200
DOID:0110031	613978
DOID:0110030	301040
DOID:0110029	141750
DOID:0110028	613761
DOID:0110027	615591
DOID:0110026	615489
DOID:0110094	615503
DOID:0110093	616300
DOID:0110092	263520
DOID:0110091	615630
DOID:0110090	614091
DOID:0110099	605804
DOID:0110098	605803
DOID:0110097	266920
DOID:0110096	616546
DOID:0110095	615633
DOID:1699	242100
DOID:0110083	611528
DOID:0110082	610476
DOID:0110081	610193
DOID:0110080	610612
DOID:635	609423
DOID:633	160750
DOID:0110089	614376
DOID:0110088	613819
DOID:0110087	613091
DOID:0110086	611263
DOID:0110085	208500
DOID:0110072	602086
DOID:0110071	600996
DOID:0110070	107970
DOID:0110079	613835
DOID:0110078	204000
DOID:0110077	609040
DOID:0110076	607450
DOID:0110075	604401
DOID:0110074	604400
DOID:0110073	602087
DOID:0060900	612953
DOID:0060902	257320
DOID:1790	156240
DOID:0060911	614817
DOID:0110025	615439
DOID:0110024	613784
DOID:0110023	611953
DOID:0110022	611488
DOID:0110021	611378
DOID:0110020	613778
DOID:0110019	610149
DOID:0110018	613757
DOID:0110017	610698
DOID:0110016	204100
DOID:0110015	153800
DOID:0110014	603075
DOID:0110013	616882
DOID:0110012	615224
DOID:0110011	604348
DOID:0110010	613856
DOID:0110009	616517
DOID:0110008	262300
DOID:0110007	216900
DOID:0110006	250951
DOID:0110005	608553
DOID:0110004	258501
DOID:0110003	616271
DOID:0110002	250950
DOID:0110001	614739
DOID:0110000	610198
DOID:1761	155900
DOID:1757	141300
DOID:1700	308100
DOID:1702	146700
DOID:12731	606177
DOID:1712	109730
DOID:1712	614823
DOID:12712	PS256100
DOID:12714	225500
DOID:12716	267450
DOID:12721	132400
DOID:12721	226900
DOID:12721	600204
DOID:12721	600969
DOID:12721	607078
DOID:12721	614135
DOID:12704	208900
DOID:12705	229300
DOID:12705	601992
DOID:12707	213400
DOID:12236	109720
DOID:12236	613007
DOID:12236	613008
DOID:12236	614220
DOID:12236	614221
DOID:0090093	615271
DOID:0090092	244200
DOID:0090091	228300
DOID:0090090	615269
DOID:0090086	612702
DOID:0090085	614838
DOID:0090084	612370
DOID:0090083	147950
DOID:0090089	614839
DOID:0090088	229070
DOID:7765	300216
DOID:0090087	614858
DOID:12241	187550
DOID:12241	603902
DOID:12241	613985
DOID:0060205	613954
DOID:0060207	614373
DOID:0060206	300857
DOID:0060209	614808
DOID:0060208	614696
DOID:0060201	612069
DOID:0090082	615270
DOID:0060200	611895
DOID:0090081	616030
DOID:0060203	613435
DOID:0090080	614897
DOID:0060202	612577
DOID:0050857	233400
DOID:0050857	614129
DOID:0050857	614926
DOID:0050857	615300
DOID:0090075	614880
DOID:0090074	614837
DOID:0090073	614842
DOID:0090072	614841
DOID:0090079	615266
DOID:0090078	146110
DOID:0090077	610628
DOID:0050858	602535
DOID:0090076	615267
DOID:12217	127750
DOID:0060210	615515
DOID:0060212	606070
DOID:0060211	615426
DOID:0060214	615911
DOID:0060213	105550
DOID:6457	158350
DOID:6457	612359
DOID:6457	615106
DOID:6457	615107
DOID:6457	615108
DOID:6457	615109
DOID:0050848	107650
DOID:0060227	100300
DOID:0060227	614219
DOID:0060227	614814
DOID:0060227	615297
DOID:0060227	616028
DOID:0060226	201180
DOID:0060226	239710
DOID:0060229	243310
DOID:0060229	614583
DOID:0060228	105800
DOID:0060228	300870
DOID:0060228	608542
DOID:0060228	609122
DOID:0060228	610213
DOID:0060228	611892
DOID:0060228	612161
DOID:0060228	612162
DOID:0060228	612586
DOID:0060228	612587
DOID:0060228	614252
DOID:0060221	614569
DOID:0060222	607016
DOID:0060225	248340
DOID:0060225	265050
DOID:0060225	PS257920
DOID:0050834	214800
DOID:0050833	258900
DOID:5117	166950
DOID:0090094	308700
DOID:0050831	604218
DOID:0060238	601390
DOID:0060238	615546
DOID:0060237	PS600118
DOID:0060239	119300
DOID:0060239	606713
DOID:0060230	114100
DOID:0060230	213600
DOID:0060230	606656
DOID:0060230	615007
DOID:0060230	615483
DOID:0060232	120502
DOID:0060232	602588
DOID:0060232	608389
DOID:0060231	259450
DOID:0060231	609220
DOID:0060234	201000
DOID:0060234	614976
DOID:0060233	115150
DOID:0060233	615278
DOID:0060233	615279
DOID:0060233	615280
DOID:0060236	278300
DOID:0060236	603592
DOID:0060235	255110
DOID:0060235	600649
DOID:0060235	608836
DOID:13533	PS259700
DOID:13533	PS607634
DOID:0060248	300209
DOID:0060248	312870
DOID:0060241	273750
DOID:0060241	612921
DOID:0060241	614205
DOID:0060240	600630
DOID:0060240	614621
DOID:0060240	614640
DOID:0050819	601186
DOID:0060243	184450
DOID:0060243	609261
DOID:0060243	614655
DOID:0060243	614668
DOID:0050818	275350
DOID:0060242	186000
DOID:0060242	608180
DOID:0060242	610234
DOID:0060245	248900
DOID:0060244	606711
DOID:0060244	606712
DOID:0060244	607134
DOID:0060244	612514
DOID:0060244	615432
DOID:0060247	607326
DOID:0060247	615222
DOID:0060246	303350
DOID:0050813	143095
DOID:0050812	612847
DOID:0050811	201710
DOID:0050811	201810
DOID:0050811	201910
DOID:0050811	202010
DOID:0050811	202110
DOID:0050817	248200
DOID:0050817	600110
DOID:0050817	603786
DOID:0050816	236730
DOID:0050816	615112
DOID:0060250	181800
DOID:0060250	607354
DOID:0060250	608765
DOID:0060250	612238
DOID:0060250	612239
DOID:0050814	605282
DOID:13543	145000
DOID:13543	145001
DOID:13543	610071
DOID:0060259	208540
DOID:0060259	615415
DOID:13501	157900
DOID:0060252	181700
DOID:0050809	601492
DOID:0050807	612713
DOID:0060253	181430
DOID:0060253	300695
DOID:0060256	179850
DOID:0060256	615327
DOID:0060256	615674
DOID:0060256	615696
DOID:0060255	600332
DOID:0060255	606072
DOID:0060258	615537
DOID:0060257	127400
DOID:0050802	130070
DOID:0050802	615349
DOID:0050801	109200
DOID:0050801	300710
DOID:0050801	612421
DOID:0050800	300352
DOID:0060261	178300
DOID:0060261	300245
DOID:6419	187500
DOID:13515	191100
DOID:13515	613254
DOID:0060263	175780
DOID:0060263	614483
DOID:0060262	609918
DOID:0060262	609919
DOID:0060262	611465
DOID:0060265	607596
DOID:0060267	277470
DOID:0060266	614678
DOID:0060269	612390
DOID:0060268	612389
DOID:0060270	613811
DOID:0060272	608027
DOID:0060271	615851
DOID:6406	217095
DOID:0060274	610204
DOID:0060273	225753
DOID:0060276	614969
DOID:0060275	611523
DOID:0060278	615809
DOID:0060277	614961
DOID:0060279	615803
DOID:0060281	132100
DOID:0060281	609572
DOID:0060281	609573
DOID:0060280	610475
DOID:0060280	610489
DOID:0060280	614190
DOID:0060280	615830
DOID:0060283	270300
DOID:0060283	613088
DOID:0060282	221900
DOID:0060282	611308
DOID:0060285	168500
DOID:0060285	609566
DOID:0060285	609597
DOID:0060284	300818
DOID:0060284	615399
DOID:0060287	121400
DOID:0060287	217300
DOID:0060286	300816
DOID:0060286	609060
DOID:0060286	610498
DOID:0060286	610505
DOID:0060286	610678
DOID:0060286	611719
DOID:0060286	613559
DOID:0060286	614096
DOID:0060286	614582
DOID:0060286	614702
DOID:0060286	614922
DOID:0060286	614924
DOID:0060286	614932
DOID:0060286	614946
DOID:0060286	614947
DOID:0060286	615395
DOID:0060286	615440
DOID:0060286	615578
DOID:0060286	615595
DOID:0060286	615917
DOID:0060286	615918
DOID:0060286	616045
DOID:0060286	616198
DOID:0060286	616239
DOID:0060289	249620
DOID:0060289	300895
DOID:0060288	164745
DOID:0060288	258315
DOID:0060290	603736
DOID:0060292	302950
DOID:0060292	302960
DOID:0060291	164200
DOID:0060291	257850
DOID:0060294	272430
DOID:0060294	610313
DOID:0060293	118650
DOID:0060293	118651
DOID:0060293	602497
DOID:0060296	214700
DOID:0060295	217000
DOID:0060298	614379
DOID:0060297	614380
DOID:0060299	612446
DOID:1588	188000
DOID:1588	273900
DOID:1588	300367
DOID:1588	313900
DOID:1588	612004
DOID:1572	236690
DOID:12259	306900
DOID:12270	120200
DOID:12270	120300
DOID:12270	216820
DOID:12271	106210
DOID:1595	608516
DOID:2998	273300
DOID:1657	614429
DOID:1657	614431
DOID:1657	614432
DOID:2988	107320
DOID:2987	134610
DOID:2987	249100
DOID:2986	161950
DOID:2951	158280
DOID:1612	114480
DOID:1612	600048
DOID:1612	605365
DOID:2977	260000
DOID:2977	613616
DOID:2962	133540
DOID:2962	216400
DOID:2962	216411
DOID:2960	601675
DOID:2908	154500
DOID:2908	248390
DOID:2908	613717
DOID:2907	164210
DOID:0110982	614173
DOID:0110981	300804
DOID:0110980	213300
DOID:0110979	272150
DOID:0110978	616849
DOID:0110977	615072
DOID:0110976	613382
DOID:0090002	103500
DOID:0110975	611377
DOID:0090001	219000
DOID:0110974	607004
DOID:0110973	301940
DOID:0110972	113300
DOID:0090006	120330
DOID:0090005	255800
DOID:0090004	208230
DOID:0090003	218000
DOID:0090009	614069
DOID:0090008	242860
DOID:0090007	PS242860
DOID:0110971	113200
DOID:0110970	113100
DOID:0110968	112910
DOID:0110967	112800
DOID:0110966	112700
DOID:0110965	112600
DOID:0110964	112500
DOID:0110963	112440
DOID:0110962	112450
DOID:0110961	610539
DOID:0110969	113000
DOID:0110960	608013
DOID:0090020	PS183600
DOID:0110957	230800
DOID:0110956	611584
DOID:0110955	613266
DOID:0110954	613265
DOID:0090024	220600
DOID:0110953	277580
DOID:0090023	605289
DOID:0110952	608890
DOID:0090022	606708
DOID:0110951	606662
DOID:0090021	183600
DOID:0110950	193510
DOID:0090028	277460
DOID:0090027	313350
DOID:0090026	225300
DOID:0090025	246560
DOID:0110959	231000
DOID:2935	214500
DOID:0090029	607115
DOID:0110958	230900
DOID:0110946	612301
DOID:0110945	611497
DOID:0110944	611490
DOID:0110943	259710
DOID:0090013	601457
DOID:0110942	259700
DOID:0090012	602450
DOID:0110941	259730
DOID:0090011	616911
DOID:0110940	615085
DOID:0090010	616910
DOID:0090017	226670
DOID:0090016	153550
DOID:0090015	212780
DOID:0090014	608971
DOID:2926	149000
DOID:0110949	148820
DOID:0090019	210250
DOID:0110948	193500
DOID:0090018	142680
DOID:0110947	600193
DOID:0090042	612406
DOID:0090041	128101
DOID:0090040	602124
DOID:0090046	614588
DOID:0090045	612126
DOID:0090044	601042
DOID:0090043	128230
DOID:0090049	118800
DOID:0090048	612067
DOID:0090047	611147
DOID:0090031	261515
DOID:0090030	611489
DOID:0090035	607488
DOID:0090034	159900
DOID:0090032	224410
DOID:0090039	602629
DOID:0090038	224500
DOID:0090037	607671
DOID:0090036	616398
DOID:6496	612237
DOID:0090071	614840
DOID:0090070	PS147950
DOID:0090064	614468
DOID:0050889	613192
DOID:0050889	614202
DOID:0090063	611762
DOID:0050888	300486
DOID:0050888	300860
DOID:0050888	309583
DOID:0090062	120100
DOID:0110999	609583
DOID:0050887	107480
DOID:0090061	PS120100
DOID:0110998	608629
DOID:0090068	256850
DOID:0110997	617121
DOID:6498	182000
DOID:0090067	228930
DOID:0110996	617120
DOID:0090066	227850
DOID:0110995	616784
DOID:0090065	616115
DOID:0110994	616781
DOID:0050882	600224
DOID:0050881	167320
DOID:0050881	615422
DOID:0050881	615424
DOID:0050880	610443
DOID:0090069	610100
DOID:0050886	275900
DOID:0050885	614732
DOID:0050884	615512
DOID:0050883	614559
DOID:0110993	616654
DOID:0110992	616490
DOID:0110991	615665
DOID:0110990	615636
DOID:0090060	226980
DOID:0050879	300623
DOID:0090053	128200
DOID:0090052	615034
DOID:0110989	614970
DOID:0050877	260370
DOID:0090051	614860
DOID:0110988	608091
DOID:0090050	616411
DOID:0110987	614815
DOID:0090057	314250
DOID:0110986	614615
DOID:0090056	128235
DOID:0110985	614465
DOID:0090055	615073
DOID:0110984	614464
DOID:0090054	611031
DOID:0110983	614424
DOID:0090059	268100
DOID:0090058	602554
DOID:14778	110100
DOID:12117	265100
DOID:0060316	311200
DOID:12118	178550
DOID:12118	235500
DOID:0060318	612376
DOID:8970	260470
DOID:0050989	160120
DOID:0050986	616053
DOID:0050981	133190
DOID:0050980	117210
DOID:14780	148050
DOID:12120	265120
DOID:12120	300770
DOID:12120	610913
DOID:12120	610921
DOID:12120	614370
DOID:0050985	615957
DOID:0050984	615945
DOID:0050983	614153
DOID:0050982	613908
DOID:14789	183900
DOID:0060327	164750
DOID:12129	607499
DOID:0050978	117360
DOID:0050977	610246
DOID:0050976	609307
DOID:0050975	609306
DOID:0050979	613371
DOID:0050970	607346
DOID:14791	PS204000
DOID:12132	608710
DOID:14793	129490
DOID:14793	224900
DOID:14793	300291
DOID:14793	305100
DOID:0050974	608703
DOID:14796	223370
DOID:0050973	610245
DOID:12134	134500
DOID:0050972	607454
DOID:14798	188700
DOID:14798	259200
DOID:0050971	608687
DOID:0060337	609528
DOID:14756	130050
DOID:14755	207900
DOID:0060339	616201
DOID:14757	130020
DOID:0060331	614052
DOID:0060330	129400
DOID:0060333	615228
