DO_ID	SNOMEDCT_ID
DOID:11389	37660004
DOID:10054	276751004
DOID:4250	408663001
DOID:4251	155161009
DOID:4251	155169006
DOID:4251	193906005
DOID:4251	194583004
DOID:4251	267735001
DOID:4251	59698003
DOID:4252	81854007
DOID:5583	254631008
DOID:5583	42596004
DOID:4257	123258003
DOID:4257	24752008
DOID:4258	156908005
DOID:4258	268313009
DOID:4258	4602007
DOID:4253	240173003
DOID:4253	44697002
DOID:4254	49347007
DOID:5585	254659009
DOID:11390	28366008
DOID:5587	111247001
DOID:5587	157667008
DOID:11394	155627006
DOID:11394	196150004
DOID:11394	196154008
DOID:11394	206281003
DOID:11394	266411000
DOID:11394	67782005
DOID:11396	19242006
DOID:11396	196119001
DOID:11396	266408001
DOID:10047	2142002
DOID:10047	254731001
DOID:10044	39274007
DOID:10044	403922007
DOID:10040	231834005
DOID:5570	400208002
DOID:5570	403939009
DOID:5572	81780002
DOID:5577	134156006
DOID:5577	16189002
DOID:5577	302824004
DOID:4248	233970002
DOID:4249	67155006
DOID:4242	254918001
DOID:5574	253005002
DOID:5574	447643008
DOID:5576	153261000119109
DOID:5576	191795002
DOID:5576	81903006
DOID:10039	186836008
DOID:10039	186837004
DOID:10039	186839001
DOID:10039	187350002
DOID:10039	4243004
DOID:10039	82323002
DOID:10079	105684008
DOID:10079	187527007
DOID:10079	59051007
DOID:11367	35387008
DOID:12698	155963008
DOID:12698	198112004
DOID:12698	266646002
DOID:12698	4754008
DOID:10075	187151009
DOID:10075	359799003
DOID:10075	49047003
DOID:799	128060009
DOID:799	12856003
DOID:799	155468006
DOID:799	155482006
DOID:799	234053000
DOID:799	266331000
DOID:799	276504003
DOID:799	399989005
DOID:10074	187153007
DOID:10074	44917000
DOID:10073	14968007
DOID:10073	186887006
DOID:10073	301086002
DOID:10071	269637007
DOID:4271	61842000
DOID:4271	65883009
DOID:4271	699676006
DOID:4271	78142009
DOID:4270	12825006
DOID:11371	47812002
DOID:11372	197138002
DOID:11372	197144003
DOID:11372	33995003
DOID:11374	17440005
DOID:11374	197136003
DOID:11374	197137007
DOID:10069	126696001
DOID:11379	44086001
DOID:4260	30767006
DOID:5591	128898008
DOID:4265	86959002
DOID:4267	5124002
DOID:4267	53333005
DOID:11382	19161004
DOID:11382	193789007
DOID:11382	193791004
DOID:11383	156967003
