DO_ID	ICD10CM_ID
DOID:11289	J67.7
DOID:11246	P60
DOID:11247	D65
DOID:11249	E56.1
DOID:4154	K00.5
DOID:12580	Q93.4
DOID:12581	M70.2
DOID:12583	Q93.81
DOID:11254	A75.1
DOID:11256	A75
DOID:11256	A75.0
DOID:11256	A75.2
DOID:11256	A75.9
DOID:11257	F40.1
DOID:11257	F40.10
DOID:11258	A28.1
DOID:4143	C69.6
DOID:11260	A82
DOID:11260	A82.9
DOID:11262	A70
DOID:12594	Q60.6
DOID:11265	A71
DOID:11265	A71.0
DOID:11265	A71.1
DOID:11265	A71.9
DOID:11266	A98.5
DOID:11267	H18.44
DOID:12556	N17.0
DOID:12557	H50.81
DOID:12558	H49.4
DOID:5426	E28.3
DOID:11230	H05.0
DOID:11230	H05.00
DOID:13891	J67.2
DOID:11231	H05.03
DOID:11232	H05.02
DOID:11234	H05.01
DOID:11235	H74.1
DOID:12566	N77.0
DOID:11239	C18.1
DOID:11242	P61.1
DOID:12573	P72.1
DOID:11243	P61.2
DOID:5418	F25
DOID:5418	F25.9
DOID:11245	P61.5
DOID:11202	E21.0
DOID:11203	H10.1
DOID:13864	H49.1
DOID:13866	G52.7
DOID:11206	F11.1
DOID:13868	F52.0
DOID:11212	Q15.0
DOID:12546	H73.82
DOID:11217	H73.1
DOID:11217	H73.10
DOID:11219	H10.01
DOID:12550	K72.91
DOID:12554	D59.3
DOID:13884	I49.5
DOID:857	D81.81
DOID:857	D81.819
DOID:856	D81.810
DOID:853	M35.3
DOID:851	N75.0
DOID:859	D81.818
DOID:6713	I60-I69
DOID:6713	I63.9
DOID:6713	I67.9
DOID:869	H71.9
DOID:869	H71.90
DOID:866	I82
DOID:864	I80
DOID:863	G00-G99
DOID:863	G98
DOID:863	G98.8
DOID:862	G83.0
DOID:0111137	E88.1
DOID:0111138	E88.1
DOID:870	G62.9
DOID:0111130	N04.1
DOID:0111131	N04.1
DOID:0111132	N04.1
DOID:0111133	N04.1
DOID:0111134	N04.1
DOID:0111135	E88.1
DOID:0111136	E88.1
DOID:0111128	N04.1
DOID:0111129	N04.1
DOID:5408	M88
DOID:845	F34.0
DOID:841	J67.9
DOID:840	J67.3
DOID:848	M19.90
DOID:850	J98.4
DOID:6725	M48.0
DOID:6725	M48.00
DOID:6725	M48.02
DOID:6725	M48.06
DOID:899	Q44.4
DOID:898	Q61.3
DOID:876	M60.0
DOID:874	J15.9
DOID:883	B65-B83
DOID:883	B83.9
DOID:11294	I77.0
DOID:882	B66.8
DOID:11299	I65.0
DOID:888	B66.5
DOID:885	B66.3
DOID:884	B66.8
DOID:893	E83.01
DOID:9024	D01.4
DOID:9011	D02.0
DOID:9043	N88.0
DOID:9042	N84.0
DOID:9036	C07
DOID:813	M00
DOID:813	M00.9
DOID:811	E88.1
DOID:819	J98.5
DOID:824	K05.3
DOID:823	K04.5
DOID:820	I51.4
DOID:1979	H30.0
DOID:1979	H30.00
DOID:9008	L40.5
DOID:9008	L40.50
DOID:0060700	E83.5
DOID:0060702	E83.5
DOID:801	M25.0
DOID:0060701	E83.5
DOID:0060703	Q87.0
DOID:0060706	D82.3
DOID:0060705	D82.3
DOID:809	F14.1
DOID:1993	C20
DOID:0060708	D47.9
DOID:0060707	D47.9
DOID:1999	H68.02
DOID:1999	H68.029
DOID:0060711	Q80.2
DOID:0060710	Q80.2
DOID:0060713	Q80.4
DOID:0060712	Q80.2
DOID:0060715	Q80.2
DOID:0060714	Q80.2
DOID:0060717	Q80.2
DOID:0060716	Q80.2
DOID:0060719	Q80.2
DOID:1943	L65.0
DOID:0060718	Q80.2
DOID:1942	H50.3
DOID:1942	H50.30
DOID:1947	A59
DOID:1947	A59.9
DOID:12522	J67.1
DOID:1929	Q25.3
DOID:12524	G57.6
DOID:12524	G57.60
DOID:1927	E75.3
DOID:1926	E75.22
DOID:12526	G57.5
DOID:12526	G57.50
DOID:12527	G57.3
DOID:12527	G57.30
DOID:0060728	E77.8
DOID:12528	G57.0
DOID:12528	G57.00
DOID:0060720	Q80.8
DOID:1932	Q93.5
DOID:13861	H15.04
DOID:1936	I25.1
DOID:1936	I70
DOID:1935	Q87.89
DOID:12531	D68.0
DOID:12531	D69.8
DOID:11201	E21.5
DOID:13862	H40.21
DOID:1933	Q87.2
DOID:0060733	Q81.8
DOID:0060732	Q93.5
DOID:0060735	Q81.0
DOID:0060737	Q81.1
DOID:13825	H01.02
DOID:0060736	Q81.0
DOID:0060739	Q51.2
DOID:0060738	Q81.8
DOID:0060731	G47.3
DOID:0060730	G24.1
DOID:1964	C57.0
DOID:1969	G80
DOID:1969	G80.9
DOID:0060744	E07.1
DOID:13832	Q25.0
DOID:0060743	E71.1
DOID:0060746	H35.5
DOID:1949	K81
DOID:1949	K81.9
DOID:0060745	H35.5
DOID:0060747	Q87.8
DOID:12506	G51.0
DOID:13839	G20-G26
DOID:13839	G25.9
DOID:0060740	E71.1
DOID:0060742	E71.1
DOID:0060741	E71.1
DOID:12510	H35.82
DOID:0060757	M85.2
DOID:0060756	M85.2
DOID:13800	A74.0
DOID:0060759	D80.5
DOID:0060758	D80.5
DOID:13809	E78.4
DOID:0060766	Q87.1
DOID:13810	E78.0
DOID:0060765	Q87.1
DOID:0060768	Q93.5
DOID:0060767	Q87.1
DOID:13814	G52.3
DOID:0060769	D82.8
DOID:0060760	D80.5
DOID:13819	A55
DOID:0060762	Q82.8
DOID:0060764	Q87.1
DOID:0060763	Q14.1
DOID:4166	A51.0
DOID:0060777	P78.3
DOID:0060776	P78.3
DOID:0060779	P78.3
DOID:0060778	P78.3
DOID:1919	E79.1
DOID:4195	R73.9
DOID:0060771	Q20.3
DOID:4196	G57.2
DOID:4196	G57.20
