DO_ID	MESH_ID
DOID:823	D010485
DOID:820	D009205
DOID:1974	D018195
DOID:9007	D013398
DOID:9008	D015535
DOID:801	D006395
DOID:0060703	C537369
DOID:809	D019970
DOID:1993	D012004
DOID:1998	D008185
DOID:12514	D012167
DOID:1947	D014245
DOID:12522	D011009
DOID:1929	D021921
DOID:1928	D018980
DOID:1927	D013106
DOID:1926	D005776
DOID:12526	D013641
DOID:12528	D020426
DOID:1932	D017204
DOID:1931	D007027
DOID:1930	D007849
DOID:1936	D050197
DOID:1935	D020788
DOID:12531	D014842
DOID:1934	D004413
DOID:11201	D010279
DOID:1933	D012415
DOID:1964	D005185
DOID:1963	D005185
DOID:1962	D005184
DOID:1969	D002547
DOID:1967	D007890
DOID:0060744	C536648
DOID:13832	D004374
DOID:1949	D002764
DOID:12506	D020330
DOID:13801	D000258
DOID:13800	D003235
DOID:13809	D006950
DOID:4175	D012203
DOID:4176	D001787
DOID:13810	D006938
DOID:13814	D020437
DOID:4163	D018305
DOID:13819	D008219
DOID:4166	D002601
DOID:1919	D007926
DOID:4194	D044882
DOID:4195	D006943
DOID:4196	D020428
DOID:4193	D020767
DOID:1921	D007713
DOID:1920	D033461
DOID:1925	C536436
DOID:1924	D007006
DOID:1923	D012734
DOID:1907	D051677
DOID:1909	D008545
DOID:4183	D011556
DOID:4184	D011547
DOID:4186	D001184
DOID:4188	D004454
DOID:4189	D009155
DOID:1911	D018240
DOID:10293	D004948
DOID:576	D011507
DOID:5340	D020324
DOID:4015	D002277
DOID:6678	C536736
DOID:6676	D007027
DOID:583	D000743
DOID:582	D006456
DOID:10289	C549759
DOID:10283	D011471
DOID:589	D000745
DOID:5330	D003788
DOID:7998	D006980
DOID:7997	D013971
DOID:5337	D005882
DOID:5338	D005886
DOID:4001	C538090
DOID:5334	D010263
DOID:594	D016584
DOID:5339	C536227
DOID:593	D000379
DOID:591	D010698
DOID:557	D007674
DOID:6692	D055010
DOID:4030	C535952
DOID:6691	C535330
DOID:4031	C535952
DOID:5362	D017573
DOID:5363	D018208
DOID:5364	D003074
DOID:560	C535908
DOID:6680	D002194
DOID:6683	C535331
DOID:6682	D013168
DOID:6688	D056735
DOID:4028	C536366
DOID:4029	D005756
DOID:4022	D014518
DOID:5353	D003108
DOID:4023	D008039
DOID:4024	D002293
DOID:4025	D013231
DOID:6686	C536012
DOID:574	D010523
DOID:573	D009408
DOID:11589	D004402
DOID:10250	D008146
DOID:11599	D013547
DOID:10242	D016873
DOID:10241	D013789
DOID:6620	D053306
DOID:10236	D005084
DOID:10235	D015835
DOID:12897	D013364
DOID:11569	D009449
DOID:599	C562465
DOID:5325	C535687
DOID:5327	D012163
DOID:6652	D004057
DOID:11572	D008584
DOID:11573	D008088
DOID:11577	D011128
DOID:10264	D009107
DOID:7912	D009837
DOID:6612	D018370
DOID:539	D009886
DOID:538	D015835
DOID:543	D004421
DOID:543	D020821
DOID:552	D011014
DOID:519	D001025
DOID:520	D001018
DOID:526	D015658
DOID:525	D020293
DOID:529	D001764
DOID:530	D005141
DOID:12800	D009087
DOID:12801	D009084
DOID:12802	D008059
DOID:12803	D016538
DOID:12804	D009085
DOID:1891	D009901
DOID:1897	D012810
DOID:1896	D012811
DOID:1862	D007573
DOID:1866	D006101
DOID:1863	D012888
DOID:0060801	C537451
DOID:1849	D002189
DOID:0060808	C537449
DOID:1852	D002780
DOID:1858	D005357
DOID:1858	D005359
DOID:1856	D002636
DOID:0060812	C537333
DOID:0060815	C537472
DOID:1884	D006524
DOID:1883	D006526
DOID:1883	D019698
DOID:1882	D006344
DOID:0060818	C535556
DOID:0060821	C537923
DOID:0060825	C537450
DOID:1876	D012735
DOID:0060832	C537301
DOID:0060834	C537303
DOID:0060833	C537302
DOID:4090	D000377
DOID:4090	D001072
DOID:11549	D000270
DOID:11550	D015840
DOID:1826	D004827
DOID:1825	D004832
DOID:12883	D006998
DOID:1824	D013226
DOID:11554	D057129
DOID:11555	D005642
DOID:17	D009140
DOID:0060844	C537849
DOID:0060847	C537119
DOID:12889	D019846
DOID:0060849	C536063
DOID:4085	D014328
DOID:4080	D014262
DOID:1811	D012019
DOID:11561	D058437
DOID:11563	D031300
DOID:12894	D012859
DOID:12895	D007638
DOID:0060854	D011546
DOID:0060853	C536578
DOID:28	D004700
DOID:0060855	D011546
DOID:1838	D007706
DOID:0060857	D025962
DOID:11527	D007829
DOID:12858	D006816
DOID:0060850	C536376
DOID:0060852	C537185
DOID:10223	D003882
DOID:1827	D004829
DOID:37	D012871
DOID:37	D012873
DOID:1837	D016883
DOID:0060877	D053560
DOID:11502	D008944
DOID:48	D005832
DOID:11503	D003929
DOID:12835	D011782
DOID:11506	D010035
DOID:12837	D013958
DOID:11507	D019959
DOID:4051	D018232
DOID:47	D011469
DOID:5381	D002759
DOID:5389	D018249
DOID:12841	D000724
DOID:0060886	C536053
DOID:12842	D020275
DOID:0060889	D011535
DOID:11512	D006502
DOID:11514	D014063
DOID:12849	D001321
DOID:5374	D018296
DOID:57	D001022
DOID:50	D013959
DOID:4045	D009217
DOID:4045	D019042
DOID:65	D003240
DOID:62	C563178
DOID:4071	D004383
DOID:4072	D004378
DOID:4078	D014264
DOID:4079	D006349
DOID:4079	D016127
DOID:1800	D018278
DOID:1803	D009443
DOID:76	D013272
DOID:5394	D015175
DOID:75	D008206
DOID:74	D006402
DOID:5392	D000239
DOID:77	D004066
DOID:0002116	D011625
DOID:10176	D012173
DOID:10175	D010211
DOID:699	D017240
DOID:698	D003807
DOID:84	D010007
DOID:84	D010008
DOID:83	D002386
DOID:5222	D004684
DOID:5223	D007246
DOID:96	D013202
DOID:6548	D008579
DOID:93	D007806
DOID:5212	D018981
DOID:92	D013064
DOID:5213	D020277
DOID:10159	D010020
DOID:679	D001480
DOID:678	D013494
DOID:676	D001171
DOID:10192	D008067
DOID:5241	D018325
DOID:6576	D020339
DOID:683	D009443
DOID:682	D003161
DOID:681	D010244
DOID:680	D024801
DOID:688	D009373
DOID:687	D018197
DOID:5230	D017121
DOID:5232	D001023
DOID:7894	D008924
DOID:693	D003744
DOID:12798	D009083
DOID:12799	D016532
DOID:10128	D014689
DOID:7848	D054739
DOID:10126	D007640
DOID:10124	D003316
DOID:11476	D010024
DOID:11476	D015663
DOID:10122	C562400
DOID:11481	D010494
DOID:11482	D010490
DOID:11486	D006732
DOID:10113	D014352
DOID:10156	D007078
DOID:10155	D007414
DOID:11446	D020426
DOID:5204	D015319
DOID:6536	D010265
DOID:12783	D020326
DOID:12785	D003929
DOID:10141	D001248
DOID:11459	D011559
DOID:10140	D015352
DOID:10138	D014985
DOID:615	D007970
DOID:614	D008231
DOID:612	D007153
DOID:627	D016511
DOID:620	D001796
DOID:630	D030342
DOID:607	D010264
DOID:606	D018437
DOID:657	D000236
DOID:655	D008661
DOID:654	D044343
DOID:660	D000306
DOID:668	D009221
DOID:1697	D007057
DOID:674	D002972
DOID:1699	D016113
DOID:1699	D017490
DOID:672	D013160
DOID:636	D017590
DOID:635	D000163
DOID:633	D009220
DOID:631	D005356
DOID:639	D004673
DOID:640	D004679
DOID:649	D017096
DOID:648	D007729
DOID:646	D004671
DOID:643	D007968
DOID:1781	D013964
DOID:1785	D010911
DOID:1787	D010493
DOID:1786	D000314
DOID:1770	D008532
DOID:0060902	C537848
DOID:0060901	D008258
DOID:1790	C562839
DOID:1793	D010190
DOID:1799	D007516
DOID:1798	D018273
DOID:1742	D011605
DOID:1749	D002294
DOID:1749	D018307
DOID:1733	D003457
DOID:1731	C538362
DOID:1731	D006660
DOID:1737	D004379
DOID:1762	D002613
DOID:1761	D008556
DOID:1768	D003291
DOID:1756	D005155
DOID:1754	D008946
DOID:1757	D005150
DOID:12759	D002830
DOID:1701	D043202
DOID:1700	D016114
DOID:1702	D016112
DOID:5295	D007410
DOID:10112	D014353
DOID:11400	D011704
DOID:12731	D015868
DOID:11401	D011705
DOID:12732	D015867
DOID:12733	D006936
DOID:11405	D003354
DOID:11405	D004165
DOID:11406	D002833
DOID:1727	D012170
DOID:1724	D004381
DOID:1712	D001024
DOID:12750	D021866
DOID:12711	D010854
DOID:12714	D004613
DOID:12716	D006819
DOID:5264	D007890
DOID:5268	D007890
DOID:12720	D002537
DOID:12721	D010009
DOID:12700	D002640
DOID:12700	D006966
DOID:12704	D001260
DOID:12705	D005621
DOID:12707	D002527
DOID:12236	D008105
DOID:12237	D001655
DOID:0050865	D002294
DOID:6432	D006976
DOID:5101	D004428
DOID:7765	D058456
DOID:12241	D017086
DOID:13576	D005330
DOID:13579	D007732
DOID:6420	D011666
DOID:13580	D002779
DOID:13585	D004368
DOID:0060216	D055952
DOID:0060215	D002549
DOID:12215	D016104
DOID:0060218	D017675
DOID:13548	D010302
DOID:12217	D020961
DOID:6457	D006223
DOID:0050848	D012891
DOID:13550	D015812
DOID:0050841	D020821
DOID:0060227	C538225
DOID:0060226	C538186
DOID:0060224	D001281
DOID:0050835	D004422
DOID:0050835	D020821
DOID:0050834	D058747
DOID:5117	C562731
DOID:5112	D013540
DOID:5113	D003677
DOID:13561	D015594
DOID:13564	D001228
DOID:13565	D020953
DOID:0060238	C536530
DOID:0060237	C536681
DOID:13523	D008118
DOID:0060239	C536528
DOID:0060239	C563529
DOID:0060230	C536275
DOID:0060234	C563187
DOID:0060236	C562584
DOID:0060236	C566358
DOID:0060235	C535589
DOID:7725	D004830
DOID:0050820	D054537
DOID:13533	D010022
DOID:0060249	D012600
DOID:0060248	C537340
DOID:12205	D003715
DOID:12206	D019595
DOID:0060241	C535314
DOID:0060241	C535725
DOID:0060240	563466
DOID:0060243	D013342
DOID:0060242	C538153
DOID:0060247	C564589
DOID:0060246	C536029
DOID:12211	D004605
DOID:13544	D057066
DOID:13543	D006961
DOID:13501	D020331
DOID:0060252	C565209
DOID:0060251	C537525
DOID:0060254	C562492
DOID:0060256	C562924
DOID:0060258	C562924
DOID:0060257	C535729
DOID:0050802	C536201
DOID:0060260	D001763
DOID:6419	D013771
DOID:13515	D014402
DOID:0060263	D065708
DOID:0060262	D005705
DOID:0060264	C580383
DOID:0060267	C564738
DOID:0060269	C567324
DOID:0060268	C567325
DOID:0060272	C548072
DOID:6406	D004310
DOID:0060274	C537745
DOID:0060273	C536716
DOID:0060275	C548074
DOID:0060280	C566469
DOID:0060280	C566472
DOID:0060282	D054514
DOID:0060285	C566826
DOID:0060284	D006457
DOID:0060289	C536232
DOID:0060288	C537746
DOID:0060288	C567664
DOID:0060290	C536717
DOID:0060292	C002806
DOID:0060291	C563160
DOID:0060294	C536214
DOID:0060296	C536210
DOID:1583	D014387
DOID:1580	D045743
DOID:1586	D012213
DOID:1584	D056586
DOID:1588	D013921
DOID:12287	D006479
DOID:0001816	D006394
DOID:1572	D006850
DOID:1570	D004483
DOID:1574	D000437
DOID:1574	D019973
DOID:1573	D006849
DOID:12297	D014607
DOID:1577	D045745
DOID:12259	D002836
DOID:13593	D004461
DOID:1591	D006978
DOID:12270	D003103
DOID:1596	D003863
DOID:12271	D015783
DOID:1595	D003866
DOID:12273	D015858
DOID:1664	D010871
DOID:2994	D009373
DOID:2999	D006106
DOID:2998	D013736
DOID:2997	D018310
DOID:2983	D001002
DOID:2982	D010501
DOID:2981	D007681
DOID:1657	D006345
DOID:2988	D016736
DOID:2987	D010505
DOID:2986	D005922
DOID:1659	D015173
DOID:1682	D006330
DOID:1681	D006343
DOID:1686	D005901
DOID:1687	D015355
DOID:1679	D003556
DOID:1678	D018856
DOID:1618	D018226
DOID:2951	D009041
DOID:2952	D007759
DOID:1627	D018300
DOID:2957	D014397
DOID:1612	D001943
DOID:2942	D001988
DOID:1614	D018567
DOID:2945	D045169
DOID:2973	D007673
DOID:2972	D012078
DOID:2977	D006959
DOID:2977	D006960
DOID:2975	D052177
DOID:2978	D002239
DOID:1631	D003557
DOID:2962	D003057
DOID:2960	D054463
DOID:2965	D002062
DOID:2964	D010489
DOID:1639	D014394
DOID:1638	D016862
DOID:2908	D008342
DOID:2907	D006053
DOID:0110973	C535914
DOID:0110970	C537093
DOID:0110968	C537092
DOID:0110965	C537089
DOID:13500	D014064
DOID:2929	D009521
DOID:0090028	C535393
DOID:1602	D008199
DOID:2935	D002609
DOID:2934	D000453
DOID:2917	D003449
DOID:2916	D007160
DOID:2921	D005921
DOID:2920	D015432
DOID:2926	D007715
DOID:0090019	C537345
DOID:5138	D018231
DOID:5162	D050379
DOID:6496	C563195
DOID:5160	D001162
DOID:5166	D036821
DOID:6498	D017492
DOID:5151	D018318
DOID:5154	D001890
DOID:0050876	D016767
DOID:5158	D010997
DOID:0050873	D008224
DOID:0060315	D017733
DOID:14778	C562419
DOID:14777	D020936
DOID:0060317	D008169
DOID:12117	C562405
DOID:0060316	D009958
DOID:12118	C536281
DOID:0060319	D006323
DOID:12119	D006486
DOID:12119	D019190
DOID:0060318	D015473
DOID:8970	D013344
DOID:0060313	C557675
DOID:0060312	D002613
DOID:13450	D003047
DOID:14780	C537015
DOID:12120	D011649
DOID:13452	D015423
DOID:14784	D009849
DOID:0060326	D008591
DOID:12128	D010842
DOID:0060327	D006554
DOID:12129	D002032
DOID:0060329	D011271
DOID:0060320	D006552
DOID:0060322	D008417
DOID:0060321	D006554
DOID:7633	D012167
DOID:14791	D057130
DOID:12132	D014890
DOID:14793	D053358
DOID:14796	C535718
DOID:12134	D006467
DOID:14798	C536237
DOID:0060337	C537943
DOID:0060336	C579867
DOID:14755	D056807
DOID:14757	C536196
DOID:8991	D018290
DOID:8997	D011087
DOID:5003	D005058
DOID:14761	C537300
DOID:13431	D014211
DOID:0060348	C537157
DOID:0060347	C563159
DOID:0060349	C537711
DOID:14768	D000168
DOID:0060346	C538343
